Date,PY_Crypto_Market_Index_Rebalanced,CoinsInIndex
2015-04-06,-0.009090445919246298,bitcoin
2015-04-07,-0.03275265389505184,bitcoin
2015-04-08,-0.0055085623833670255,bitcoin
2015-04-09,-0.031702583387337446,bitcoin
2015-04-10,0.002031195555970221,bitcoin
2015-04-11,-0.0016881656357104126,bitcoin
2015-04-12,-0.05021671457958945,bitcoin
2015-04-13,-0.02446570676738572,bitcoin
2015-04-14,0.02110272663619963,bitcoin
2015-04-15,0.020955420780588558,bitcoin
2015-04-16,-0.02521312519582588,bitcoin
2015-04-17,0.002124423265916858,bitcoin
2015-04-18,-0.003390457413682234,bitcoin
2015-04-19,0.009060362216953308,bitcoin
2015-04-20,0.046292699936516114,bitcoin
2015-04-21,-0.0046565809110987915,bitcoin
2015-04-22,0.009714594733141834,bitcoin
2015-04-23,-0.022210307810358515,bitcoin
2015-04-24,-0.02131806137975318,bitcoin
2015-04-25,-0.031225931376502918,bitcoin
2015-04-26,0.0439368712459237,bitcoin
2015-04-27,-0.015076931389290936,bitcoin
2015-04-28,-2.0810680110583022e-4,bitcoin
2015-04-29,0.04476096650239282,bitcoin
2015-04-30,-0.017368232899846472,bitcoin
2015-05-01,0.012209757927307927,bitcoin
2015-05-02,0.022841919434420148,bitcoin
2015-05-03,-0.005590600314651925,bitcoin
2015-05-04,-0.01219449057060903,bitcoin
2015-05-05,-0.027213371532442493,bitcoin
2015-05-06,0.03233740691413454,bitcoin
2015-05-07,0.027138189042059217,bitcoin
2015-05-08,-0.008363345997296084,bitcoin
2015-05-09,-0.006371754642045784,bitcoin
2015-05-10,0.007718906748094197,bitcoin
2015-05-11,-0.0043288715342883165,bitcoin
2015-05-12,-0.019833570375392573,bitcoin
2015-05-13,0.0023325383733118687,bitcoin
2015-05-14,0.002849091256438125,bitcoin
2015-05-15,-0.0061297135222325525,bitcoin
2015-05-16,0.0027444576335887115,bitcoin
2015-05-17,-0.015636672562811434,bitcoin
2015-05-18,-0.0050787604723572044,bitcoin
2015-05-19,0.008889134295069545,bitcoin
2015-05-20,0.005650190251965526,bitcoin
2015-05-21,0.021039654392580702,bitcoin
2015-05-22,-0.006160084500712822,bitcoin
2015-05-23,0.008674087311868247,bitcoin
2015-05-24,-0.016077734830332657,bitcoin
2015-05-25,2.5290490721998437e-5,bitcoin
2015-05-26,7.040801197669717e-4,bitcoin
2015-05-27,5.266583962282316e-4,bitcoin
2015-05-28,-0.0013151069964160093,bitcoin
2015-05-29,-0.015947042706873096,bitcoin
2015-05-30,-0.013612984892941857,bitcoin
2015-05-31,-0.03206521063787169,bitcoin
2015-06-01,0.012823055324421764,bitcoin
2015-06-02,3.143801795365405e-4,bitcoin
2015-06-03,-0.006885832118170049,bitcoin
2015-06-04,0.0027955694505147344,bitcoin
2015-06-05,0.002960722881886112,bitcoin
2015-06-06,-0.01220976859099296,bitcoin
2015-06-07,0.024850080233505396,bitcoin
2015-06-08,0.002443544510348533,bitcoin
2015-06-09,-0.0010702625985222912,bitcoin
2015-06-10,0.003934540854167086,bitcoin
2015-06-11,0.001205136684123865,bitcoin
2015-06-12,0.010467578166216546,bitcoin
2015-06-13,0.004897611391334578,bitcoin
2015-06-14,0.013946807230282961,bitcoin
2015-06-15,0.057721523520085895,bitcoin
2015-06-16,-0.006441746889103034,bitcoin
2015-06-17,-0.0011117713389464465,bitcoin
2015-06-18,-0.01783225944160742,bitcoin
2015-06-19,0.002474401130114128,bitcoin
2015-06-20,-0.005184473648945495,bitcoin
2015-06-21,0.01240918046293706,bitcoin
2015-06-22,-0.010967245914642682,bitcoin
2015-06-23,-0.015598171179010913,bitcoin
2015-06-24,0.009451468844259814,bitcoin
2015-06-25,0.003268956966947473,bitcoin
2015-06-26,0.029910238650230677,bitcoin
2015-06-27,-0.007916041018221309,bitcoin
2015-06-28,0.0318279845169315,bitcoin
2015-06-29,0.023102661546839195,bitcoin
2015-06-30,-0.01706404659893035,bitcoin
2015-07-01,-0.012485740380648432,bitcoin
2015-07-02,0.003611140537207739,bitcoin
2015-07-03,0.0175943997009921,bitcoin
2015-07-04,0.04139866364925974,bitcoin
2015-07-05,-0.010659248530597193,bitcoin
2015-07-06,-0.010548688625087448,bitcoin
2015-07-07,0.017050957210628558,bitcoin
2015-07-08,-0.005766569134916551,bitcoin
2015-07-09,0.05655863250544939,bitcoin
2015-07-10,0.028447765197687228,bitcoin
2015-07-11,0.05880019194947673,bitcoin
2015-07-12,-0.06242651475614335,bitcoin
2015-07-13,-0.01584106971983817,bitcoin
2015-07-14,-0.005703832709444246,bitcoin
2015-07-15,-0.027452597215681475,bitcoin
2015-07-16,0.004960886812489839,bitcoin
2015-07-17,-0.016491018120692345,bitcoin
2015-07-18,-0.004692632405810226,bitcoin
2015-07-19,0.01942523051525398,bitcoin
2015-07-20,-0.011347996066550323,bitcoin
2015-07-21,0.00502293619804382,bitcoin
2015-07-22,-0.00424014777016795,bitcoin
2015-07-23,0.043346917965679924,bitcoin
2015-07-24,0.0014523190755611174,bitcoin
2015-07-25,0.01372271394385294,bitcoin
2015-07-26,0.0031996352964808396,bitcoin
2015-07-27,0.002731088083610243,bitcoin
2015-07-28,-0.01656498435669748,bitcoin
2015-07-29,-0.006471433314039312,bitcoin
2015-07-30,-0.010734349613815723,bitcoin
2015-07-31,-0.010769111724429105,bitcoin
2015-08-01,0.00359083515525162,bitcoin
2015-08-02,-0.00491992145021759,bitcoin
2015-08-03,0.014091618850421733,bitcoin
2015-08-04,-0.01176525184162681,bitcoin
2015-08-05,-0.011794015540460851,bitcoin
2015-08-06,0.003611842885169838,bitcoin
2015-08-07,-0.06879738173969864,bitcoin
2015-08-08,0.015534065416669443,bitcoin
2015-08-09,-0.002315186034852861,bitcoin
2015-08-10,0.022122689184925697,bitcoin
2015-08-11,-0.014941646018986858,bitcoin
2015-08-12,-0.008656834399289699,bitcoin
2015-08-13,0.006040512802895468,bitcoin
2015-08-14,-0.015663275932990797,bitcoin
2015-08-15,-0.011706545070195418,bitcoin
2015-08-16,-0.002056120054704497,bitcoin
2015-08-17,-0.2006341623243406,bitcoin
2015-08-18,0.07132455635772464,bitcoin
2015-08-19,0.03751679130463318,bitcoin
2015-08-20,-0.011886837539076394,bitcoin
2015-08-21,-0.009413433789180215,bitcoin
2015-08-22,-0.00968691218167908,bitcoin
2015-08-23,-0.08062473359647304,bitcoin
2015-08-24,0.051452661898155796,bitcoin
2015-08-25,0.018872365248247536,bitcoin
2015-08-26,-0.0047137081573718495,bitcoin
2015-08-27,0.02905731598096081,bitcoin
2015-08-28,-0.00700818753170439,bitcoin
2015-08-29,-0.004444526744650592,bitcoin
2015-08-30,0.00564495911890215,bitcoin
2015-08-31,-0.00844655691837487,bitcoin
2015-09-01,0.005085195369439381,bitcoin
2015-09-02,-0.009205540744832196,bitcoin
2015-09-03,0.01361828629277421,bitcoin
2015-09-04,0.02029220950744548,bitcoin
2015-09-05,0.02030566909190868,bitcoin
2015-09-06,2.9201476180148677e-5,bitcoin
2015-09-07,0.015555028445309997,bitcoin
2015-09-08,-0.022579945075342757,bitcoin
2015-09-09,0.0012965866748638347,bitcoin
2015-09-10,0.00681174434519339,bitcoin
2015-09-11,-0.020525110601728742,bitcoin
2015-09-12,-0.02025663112705936,bitcoin
2015-09-13,5.724908295494867e-4,bitcoin
2015-09-14,-0.0014752050166170528,bitcoin
2015-09-15,-0.00528085958345531,bitcoin
2015-09-16,0.003133550493004148,bitcoin
2015-09-17,0.013678307924552722,bitcoin
2015-09-18,-0.006381558728609137,bitcoin
2015-09-19,-0.0012145562897738753,bitcoin
2015-09-20,-0.018010636553893223,bitcoin
2015-09-21,0.015438219324142044,bitcoin
2015-09-22,-0.0014536376071146986,bitcoin
2015-09-23,0.01827026927096558,bitcoin
2015-09-24,0.002618803211762286,bitcoin
2015-09-25,-0.0034250438845720593,bitcoin
2015-09-26,-0.006778029461661232,bitcoin
2015-09-27,0.027062503460857097,bitcoin
2015-09-28,-0.010318932398688647,bitcoin
2015-09-29,-0.002652578554585843,bitcoin
2015-09-30,0.00628790136759223,bitcoin
2015-10-01,-0.0010782396311548304,bitcoin
2015-10-02,0.006037526926598178,bitcoin
2015-10-03,-0.0019748597835278223,bitcoin
2015-10-04,0.008875137866997963,bitcoin
2015-10-05,0.023354148687372393,bitcoin
2015-10-06,-0.012653776022263556,bitcoin
2015-10-07,-0.0027406993968870823,bitcoin
2015-10-08,0.006692257742147703,bitcoin
2015-10-09,0.004131944378584445,bitcoin
2015-10-10,0.008573415850627014,bitcoin
2015-10-11,-0.007076199259228038,bitcoin
2015-10-12,0.016976402807629142,bitcoin
2015-10-13,0.009894468274426856,bitcoin
2015-10-14,0.009207915934145784,bitcoin
2015-10-15,0.03306241831532519,bitcoin
2015-10-16,0.029133814880465788,bitcoin
2015-10-17,-0.03380857890518242,bitcoin
2015-10-18,0.006833295002933738,bitcoin
2015-10-19,0.022616842061684787,bitcoin
2015-10-20,-0.011912782119514609,bitcoin
2015-10-21,0.028693727253451113,bitcoin
2015-10-22,0.008984280367725186,bitcoin
2015-10-23,0.018482975533455546,bitcoin
2015-10-24,0.007167478715327569,bitcoin
2015-10-25,0.005694398925543397,bitcoin
2015-10-26,0.029317184247977805,bitcoin
2015-10-27,0.03620017059664361,bitcoin
2015-10-28,0.029872560540800824,bitcoin
2015-10-29,0.04412825288517566,bitcoin
2015-10-30,-0.04313792247122445,bitcoin
2015-10-31,0.035228995628167,bitcoin
2015-11-01,0.1042508973337004,bitcoin
2015-11-02,0.11056939286694398,bitcoin
2015-11-03,0.019991331284424322,bitcoin
2015-11-04,-0.06320802060226138,bitcoin
2015-11-05,-0.03124236154397994,bitcoin
2015-11-06,0.03157358504809397,bitcoin
2015-11-07,-0.034520722061763216,bitcoin
2015-11-08,0.0182827505499263,bitcoin
2015-11-09,-0.12130161493215239,bitcoin
2015-11-10,-0.07948267475736959,bitcoin
2015-11-11,0.08343250231779198,bitcoin
2015-11-12,-0.0041458259763200575,bitcoin
2015-11-13,-0.011489510937704854,bitcoin
2015-11-14,-0.039020620675524184,bitcoin
2015-11-15,0.03252628305396386,bitcoin
2015-11-16,0.013045224165949651,bitcoin
2015-11-17,-0.0015051812646541577,bitcoin
2015-11-18,-0.02555159898802231,bitcoin
2015-11-19,-0.012734415693781217,bitcoin
2015-11-20,0.01511703431132842,bitcoin
2015-11-21,-0.007340407360545149,bitcoin
2015-11-22,-0.004601806040874203,bitcoin
2015-11-23,-0.009329992771022064,bitcoin
2015-11-24,0.025176736497335456,bitcoin
2015-11-25,0.07193100419952747,bitcoin
2015-11-26,0.015077831251654445,bitcoin
2015-11-27,-0.0018478030726856915,bitcoin
2015-11-28,0.03819174564638537,bitcoin
2015-11-29,0.016102103514836437,bitcoin
2015-11-30,-0.040104933740254985,bitcoin
2015-12-01,-0.00914821162113144,bitcoin
2015-12-02,0.00516216945115583,bitcoin
2015-12-03,0.005901531467640918,bitcoin
2015-12-04,0.06854136502553627,bitcoin
2015-12-05,-4.269224582968289e-4,bitcoin
2015-12-06,0.017220513895786133,bitcoin
2015-12-07,0.049392364906732926,bitcoin
2015-12-08,0.004801203895182318,bitcoin
2015-12-09,-0.00500332214209511,bitcoin
2015-12-10,0.08411289544843278,bitcoin
2015-12-11,-0.03820582051189206,bitcoin
2015-12-12,-0.002859286011255028,bitcoin
2015-12-13,0.023754533912684728,bitcoin
2015-12-14,0.04649311721870654,bitcoin
2015-12-15,-0.022575188405588493,bitcoin
2015-12-16,0.002511521386813966,bitcoin
2015-12-17,0.016392763646515804,bitcoin
2015-12-18,-0.0027950191189675395,bitcoin
2015-12-19,-0.04340314781102925,bitcoin
2015-12-20,-0.009181682084705278,bitcoin
2015-12-21,-0.004723479134066274,bitcoin
2015-12-22,0.013263423371338736,bitcoin
