Date,PY_Crypto_Market_Index,CoinsInIndex
2013-11-23,-0.029988198423623467,bitcoin
2013-11-24,0.03160377119624946,bitcoin
2013-11-25,0.14964086924632242,bitcoin
2013-11-26,0.07657392332213218,bitcoin
2013-11-27,0.02949206532102436,bitcoin
2013-11-28,0.09250928282478513,bitcoin
2013-11-29,-0.0022463235454210978,bitcoin
2013-11-30,-0.16686743578514682,bitcoin
2013-12-01,0.08757178641931757,bitcoin
2013-12-02,0.032949727319475736,bitcoin
2013-12-03,0.06541164847228582,bitcoin
2013-12-04,-0.09665672564344065,bitcoin
2013-12-05,-0.23111456274563125,bitcoin
2013-12-06,-0.17221431184880537,bitcoin
2013-12-07,0.13088731638223053,bitcoin
2013-12-08,0.11536347714713831,bitcoin
2013-12-09,0.10139944184066989,bitcoin
2013-12-10,-0.11800564971998864,bitcoin
2013-12-11,-0.005959772777835044,bitcoin
2013-12-12,0.021882818358926977,bitcoin
2013-12-13,-0.022638931926662605,bitcoin
2013-12-14,0.004025829571846445,bitcoin
2013-12-15,-0.21593036010902983,bitcoin
2013-12-16,-0.03436711388731347,bitcoin
2013-12-17,-0.26619787921382615,bitcoin
2013-12-18,0.28052047316045226,bitcoin
2013-12-19,-0.10126465181122174,bitcoin
2013-12-20,-0.03194480224990014,bitcoin
2013-12-21,0.01884197551782329,bitcoin
2013-12-22,0.08719361306192808,bitcoin
2013-12-23,-0.011695450096522118,bitcoin
2013-12-24,0.02467869388798309,bitcoin
2013-12-25,0.11058272244770721,bitcoin
2013-12-26,-0.03595454025370161,bitcoin
2013-12-27,-0.009898214812731319,bitcoin
2013-12-28,0.023383785912900877,bitcoin
2013-12-29,0.014762011688750706,bitcoin
2013-12-30,-0.002807682055054258,bitcoin
2013-12-31,0.02280143395217618,bitcoin
2014-01-01,0.03938771479065677,bitcoin
2014-01-02,0.020147317059133234,bitcoin
2014-01-03,0.048620361515367944,bitcoin
2014-01-04,0.08261066017832082,bitcoin
2014-01-05,0.020946005551224868,bitcoin
2014-01-06,-0.17281052865139565,bitcoin
2014-01-07,0.0495261131038736,bitcoin
2014-01-08,0.004900653466383321,bitcoin
2014-01-09,0.025209160280731807,bitcoin
2014-01-10,0.05103134400142039,bitcoin
2014-01-11,-0.05710632938101591,bitcoin
2014-01-12,-0.025840090997950753,bitcoin
2014-01-13,-0.009471715600579682,bitcoin
2014-01-14,0.032620639283341885,bitcoin
2014-01-15,-0.029792444795906273,bitcoin
2014-01-16,-0.025439621381963307,bitcoin
2014-01-17,0.030655575992509846,bitcoin
2014-01-18,0.03619418496370414,bitcoin
2014-01-19,-8.729924866740204e-4,bitcoin
2014-01-20,-0.0072545186887176035,bitcoin
2014-01-21,-0.021433925302511522,bitcoin
2014-01-22,-0.028245611379918982,bitcoin
2014-01-23,-0.03084651546079391,bitcoin
2014-01-24,0.06853188436497981,bitcoin
2014-01-25,0.03642961439574367,bitcoin
2014-01-26,-0.13770991100654395,bitcoin
2014-01-27,0.05193413260288641,bitcoin
2014-01-28,0.016466539681464776,bitcoin
2014-01-29,-0.008474024531902205,bitcoin
2014-01-30,0.01320854102190876,bitcoin
2014-01-31,0.0032000438490918815,bitcoin
2014-02-01,-0.008697569132073459,bitcoin
2014-02-02,-0.0018675460387907001,bitcoin
2014-02-03,0.005000651888736579,bitcoin
2014-02-04,-0.01957540707455988,bitcoin
2014-02-05,-0.038110351780871146,bitcoin
2014-02-06,-0.09263952603679844,bitcoin
2014-02-07,-0.055528201538959994,bitcoin
2014-02-08,0.013237087570905864,bitcoin
2014-02-09,-0.0027420706565005814,bitcoin
2014-02-10,-0.013095141765438408,bitcoin
2014-02-11,-0.030896282414173987,bitcoin
2014-02-12,-0.07398991943326949,bitcoin
2014-02-13,0.08962537788256651,bitcoin
2014-02-14,-0.01686371479327556,bitcoin
2014-02-15,-0.05411754444203149,bitcoin
2014-02-16,0.015512443108037446,bitcoin
2014-02-17,5.267203516954424e-4,bitcoin
2014-02-18,-0.005713620810839191,bitcoin
2014-02-19,-0.11357463128922934,bitcoin
2014-02-20,0.03188796889306096,bitcoin
2014-02-21,0.053014347474916165,bitcoin
2014-02-22,6.605205108301287e-4,bitcoin
2014-02-23,-0.10337802627475204,bitcoin
2014-02-24,-0.014027464549724563,bitcoin
2014-02-25,0.07847788319249153,bitcoin
2014-02-26,-0.006750120917031735,bitcoin
2014-02-27,-0.05233326026103338,bitcoin
2014-02-28,0.02933283334315532,bitcoin
2014-03-01,-0.010343094719691866,bitcoin
2014-03-02,0.17636716801946978,bitcoin
2014-03-03,-0.0014686418034073393,bitcoin
2014-03-04,-0.0019065216713399656,bitcoin
2014-03-05,-0.002482416885294746,bitcoin
2014-03-06,-0.053701520963983354,bitcoin
2014-03-07,-0.018771627509018604,bitcoin
2014-03-08,0.031108780414354224,bitcoin
2014-03-09,-0.014501213106990605,bitcoin
2014-03-10,0.010016737222914365,bitcoin
2014-03-11,-0.0031748470096724145,bitcoin
2014-03-12,0.009510147109345907,bitcoin
2014-03-13,-0.01474449626197582,bitcoin
2014-03-14,0.011573995409976216,bitcoin
2014-03-15,-0.007907066508291294,bitcoin
2014-03-16,-0.01394058189496734,bitcoin
2014-03-17,-0.012190557396110501,bitcoin
2014-03-18,-0.00807367675956436,bitcoin
2014-03-19,-0.03523968635015687,bitcoin
2014-03-20,-0.029788680021674157,bitcoin
2014-03-21,-0.01135048196735571,bitcoin
2014-03-22,-0.00669089842456666,bitcoin
2014-03-23,0.038688016750345076,bitcoin
2014-03-24,8.652315211512807e-4,bitcoin
2014-03-25,-0.00530584063127706,bitcoin
2014-03-26,-0.20908757010194964,bitcoin
2014-03-27,0.05053685742820472,bitcoin
2014-03-28,-0.009107916769448965,bitcoin
2014-03-29,-0.06497455200284427,bitcoin
2014-03-30,-0.007134219415154853,bitcoin
2014-03-31,0.04570934917772216,bitcoin
2014-04-01,-0.09014140031419476,bitcoin
2014-04-02,0.017186800895734433,bitcoin
2014-04-03,0.006294294440610878,bitcoin
2014-04-04,0.03162896136233487,bitcoin
2014-04-05,-0.003052931364851654,bitcoin
2014-04-06,-0.0243461217386924,bitcoin
2014-04-07,0.00811740267952805,bitcoin
2014-04-08,-0.02313312612526266,bitcoin
2014-04-09,-0.19256940847466417,bitcoin
2014-04-10,0.1421274984554929,bitcoin
2014-04-11,4.014102325392085e-4,bitcoin
2014-04-12,-0.016890215935090724,bitcoin
